,Week,Revenue A,Revenue B,Revenue C,Payroll,Payroll Taxes,Pension Contribution,Benefits Contribution,EHT,Fixed OpEx,Variable OpEx,CapEx,Ending Balance
0,2024-04-05,191574.28,0.0,271379.02,-0.0,-0.0,-0.0,-0.0,-0.0,-155113.83,-48680.96,-0.0,1259158.51
1,2024-04-12,195821.67,0.0,52240.56,-167490.77,-72578.89,-24116.45,-0.0,-0.0,-170996.2,-58481.19,-0.0,1013557.24
2,2024-04-19,195801.01,200352.59,86280.26,-0.0,-0.0,-0.0,-0.0,-0.0,-158036.76,-92200.2,-0.0,1245754.14
3,2024-04-26,174244.88,0.0,33080.78,-145776.7,-58654.46,-19782.04,-0.0,-0.0,-154775.76,-60645.79,-0.0,1013445.05
4,2024-05-03,205092.08,198369.37,86939.9,-0.0,-0.0,-0.0,-24158.56,-6457.99,-131696.06,-147922.55,-0.0,1193611.24
5,2024-05-10,179345.56,0.0,26206.0,-159543.25,-64453.57,-21464.06,-0.0,-0.0,-162628.52,-89955.23,-0.0,901118.17
6,2024-05-17,203453.06,222771.93,105132.29,-0.0,-0.0,-0.0,-0.0,-0.0,-132726.41,-30477.95,-0.0,1269271.09
7,2024-05-24,238618.98,0.0,109245.63,-152573.51,-69074.97,-22497.15,-0.0,-0.0,-142569.91,-172058.99,-0.0,1058361.17
8,2024-05-31,171489.01,0.0,41545.16,-0.0,-0.0,-0.0,-0.0,-0.0,-160159.26,-29922.29,-0.0,1081313.79
9,2024-06-07,176736.47,195594.97,47761.11,-151866.15,-64498.79,-20907.56,-38660.22,-9099.9,-122630.02,-22512.78,-0.0,1071230.92
10,2024-06-14,191859.47,0.0,88824.49,-0.0,-0.0,-0.0,-0.0,-0.0,-145254.87,-59912.67,-0.0,1146747.34
11,2024-06-21,153419.86,175568.24,44867.28,-158036.08,-67547.18,-22931.62,-0.0,-0.0,-141262.91,-137734.94,-0.0,993089.99
12,2024-06-28,198724.81,0.0,127010.61,-0.0,-0.0,-0.0,-0.0,-0.0,-162871.24,-184982.99,-0.0,970971.18
13,2024-07-05,221682.78,205034.46,199890.56,-176198.81,-76573.53,-25657.83,-26852.48,-6766.23,-165678.92,-61578.51,-0.0,1058272.67
14,2024-07-12,212420.67,0.0,31873.85,-0.0,-0.0,-0.0,-0.0,-0.0,-146050.05,-67331.28,-0.0,1089185.86
15,2024-07-19,217223.88,210305.1,49341.95,-165772.19,-69862.16,-24249.52,-0.0,-0.0,-161330.35,-53479.56,-0.0,1091363.01
16,2024-07-26,187178.1,0.0,42093.14,-0.0,-0.0,-0.0,-0.0,-0.0,-143958.2,-21354.88,-0.0,1155321.17
17,2024-08-02,225013.47,202850.41,27657.86,-141303.21,-63852.18,-20600.51,-25151.78,-6013.43,-145933.52,-155535.01,-0.0,1052453.27
18,2024-08-09,197498.17,0.0,51992.88,-0.0,-0.0,-0.0,-0.0,-0.0,-154754.57,-35141.27,-0.0,1112048.48
19,2024-08-16,207210.18,197312.1,36271.05,-139972.76,-60565.15,-21036.93,-0.0,-0.0,-148641.81,-239017.07,-0.0,943608.09
20,2024-08-23,205450.04,0.0,37904.2,-0.0,-0.0,-0.0,-0.0,-0.0,-124763.1,-71322.53,-0.0,990876.7
21,2024-08-30,211129.2,0.0,45651.86,-150605.77,-64950.88,-21656.09,-0.0,-0.0,-151257.72,-41916.41,-0.0,817270.89
22,2024-09-06,212475.71,199505.33,39241.86,-0.0,-0.0,-0.0,-24267.77,-6005.95,-158087.01,-8806.98,-0.0,1071326.08
23,2024-09-13,202340.89,0.0,77484.5,-187179.3,-76847.78,-25437.79,-0.0,-0.0,-147542.88,-123778.15,-0.0,790365.57
24,2024-09-20,207015.34,207735.69,78312.56,-0.0,-0.0,-0.0,-0.0,-0.0,-159316.65,-86288.51,-0.0,1037824.0
25,2024-09-27,198773.59,0.0,107337.56,-155824.06,-64371.97,-21561.45,-0.0,-0.0,-146294.15,-107746.71,-0.0,848136.81
26,2024-10-04,238760.68,193790.3,33900.32,-0.0,-0.0,-0.0,-26157.4,-6841.23,-159882.78,-62795.92,-0.0,1058910.78
